name,race,background,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,skills,day,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,levelGroup
22bf79,Deep Gnome,Acolyte,Warlock 20,Warlock,The Celestial,20,,260,15,18,18,20,22,24,20,Sleight of Hand|Stealth|History|Religion|Insight|Perception|Deception|Performance|Persuasion,07 24 18,,NA,NA,Gnome,Light*0|Sacred Flame*0|Eldritch Blast*0|Prestidigitation*0|Mage Hand*0|Minor Illusion*0|Word of Radiance*0|Guidance*0|Spare the Dying*0|Cure Wounds*1|Guiding Bolt*1|Comprehend Languages*1|Illusory Script*1|Protection from Evil and Good*1|Mage Armor*1|Disguise Self*1|Flaming Sphere*2|Lesser Restoration*2|Invisibility*2|Misty Step*2|Levitate*2|Alter Self*2|Daylight*3|Revivify*3|Dispel Magic*3|Gaseous Form*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4|Dimension Door*4|Banishment*4|Polymorph*4|Flame Strike*5|Greater Restoration*5|Synaptic Static*5|Danse Macabre*5|Mass Suggestion*6|Crown of Stars*7|Feeblemind*8|Power Word Kill*9,Dagger,19-20
b1bd6b,Human,Hermit,Monk 20,Monk,Way of the Four Elements,20,Mobile|Observant,200,20,13,20,15,12,21,11,Acrobatics|History|Religion|Insight|Medicine,07 31 18,,NA,NA,Human,,Dagger|Dart|Unarmed Strike,19-20
e9a755,Wood Elf,Guild Artisan,Wizard 20,Wizard,School of Conjuration,20,Spell Sniper|Elven Accuracy|Elemental Adept|War Caster|Lucky,122,13,10,16,14,20,14,12,Arcana|Insight|Medicine|Perception|Persuasion,07 09 18,,NA,NA,Elf,Blade Ward*0|Fire Bolt*0|Green-Flame Blade*0|Ray of Frost*0|Message*0|Control Flames*0|Identify*1|Find Familiar*1|Catapult*1|Ray of Sickness*1|Disguise Self*1|Misty Step*2|Mirror Image*2|Scorching Ray*2|Nystul’s Magic Aura*2|Mind Spike*2|Counterspell*3|Fireball*3|Counterspell*3|Dispel Magic*3|Summon Lesser Demons*3|Vampiric Touch*3|Dimension Door*4|Summon Greater Demon*4|Mordenkainen’s Faithful Hound*4|Steel Wind Strike*5|Bigby’s Hand*5|Contingency*6|Tenser’s Transformation*6|Reverse Gravity*7|Forcecage*7|Sunburst*8|Antimagic Field*8|Wish*9|Invulnerability*9,Quarterstaff,19-20
68bf99,Kenku,Clan Crafter,Warlock 20,Warlock,The Great Old One,20,Actor|War Caster,220,16,12,20,16,14,14,21,Stealth|Arcana|History|Religion|Insight|Deception,06 17 18,,NA,NA,Kenku,,"Crossbow, Light|Dagger",19-20
7b7c1c,Human,Folk Hero,Cleric 20,Cleric,War Domain,20,,203,24,20,16,20,12,20,15,Religion|Animal Handling|Insight|Survival,09 08 18,,NA,NA,Human,Divine Favor*1|Shield of Faith*1|Magic Weapon*2|Spiritual Weapon*2|Crusader’s Mantle*3|Spirit Guardians*3|Freedom of Movement*4|Stoneskin*4|Flame Strike*5|Hold Monster*5,Spear,19-20
c4f62f,Dragonborn,Hermit,Barbarian 20,Barbarian,Path of the Totem Warrior,20,,285,20,24,16,24,12,12,12,Religion|Medicine|Survival|Intimidation,04 29 18,,NA,NA,Dragonborn,,Greataxe|Handaxe|Javelin,19-20
1ed728,Half-Elf,Faction Agent,Sorcerer 20,Sorcerer,Draconic Bloodline,20,Actor|Alert|Spell Sniper|Elven Accuracy|Elemental Adept,182,17,14,18,18,15,18,24,Arcana|Insight|Perception|Deception|Intimidation|Persuasion,04 21 18,,NA,NA,Half-Elf,,"Crossbow, Light|Dagger",19-20
eecfc2,Tiefling,Charlatan,Warlock 20,Warlock,The Hexblade,20,Heavily Armored,260,18,8,10,20,12,14,20,Sleight of Hand|Investigation|Deception|Intimidation,05 17 18,,NA,NA,Tiefling,,Dagger|Greataxe,19-20
7ff7d2,Tiefling,Noble,Paladin 20,Paladin,Oath of Ancients,20,Tough|Lucky,280,20,20,12,14,12,12,20,Athletics|History|Intimidation|Persuasion,05 17 18,,NA,NA,Tiefling,Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4|Commune with Nature*5|Tree Stride*5,Javelin|Greataxe|Longsword,19-20
370d36,Gray Dwarf,Acolyte,Paladin 19,Paladin,Oath of Ancients,19,War Caster|Skilled|Resilient,266,21,20,14,19,8,12,18,Religion|Insight|Medicine|Perception|Deception|Intimidation|Persuasion,07 06 18,,NA,NA,Dwarf,Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4|Commune with Nature*5|Tree Stride*5,Longsword,19-20
a18c47,Stout Halfling,Cloistered Scholar,Wizard 16,Wizard,School of Necromancy,16,War Caster|Second Chance,144,11,10,13,16,20,13,13,Arcana|History|Investigation|Religion,06 12 18,,NA,NA,Halfling,Animate Dead*3,Dagger,16-18
c22cbc,Dragonborn,Haunted One,Fighter 16,Fighter,Battle Master,16,,216,16,20,20,20,14,14,14,Athletics|History|Investigation|Survival,07 06 18,,NA,NA,Dragonborn,,Shortsword,16-18
a9a61d,Turtle,Criminal,Druid 16,Druid,Circle of the Land,16,,153,14,10,12,18,13,20,10,Stealth|Nature|Animal Handling|Survival|Deception,06 22 18,,NA,NA,Turtle,Barkskin*2|Spider Climb*2|Call Lightning*3|Plant Growth*3|Divination*4|Freedom of Movement*4|Commune with Nature*5|Tree Stride*5,Scimitar,16-18
cb9242,Goblin,Criminal,Sorcerer 16,Sorcerer,Wild Magic,16,Lucky,104,13,8,17,14,12,10,20,Stealth|Arcana|Deception|Intimidation,06 22 18,,NA,NA,Goblin,,Quarterstaff|Dagger,16-18
2b842f,Lizardfolk,Mercenary Veteran,Fighter 16,Fighter,Champion,16,,164,16,20,16,18,12,12,9,Athletics|Acrobatics|Insight|Perception|Survival|Persuasion,06 24 18,,NA,NA,Lizardfolk,,Greatsword|Warhammer,16-18
